fips,state,county,brfss_id,landsqmi,areasqmi,totalpop2010,pctover62,pctmales,pctfemales,pctwhite1,pctblack1,pctindian1,pctasian1,pcthawnpi1,pctother1,avghhinc,avghhsocsec,pctpoort,pctpublictrans,pctbachelorsormore,pctbroadbandint,pctnointernet,pctnovehicles,sef_rank,ho_rank,hf_rank,pctuninsured,numofpcp,pctfluvacc,pctsomecollege,pctunemployed,lifeexpect,pctnohealthyfood,pctrural
29001," Missouri","Adair ",7,567.32,569.44,25607,16.6,48.2,51.8,91.2,3.4,0.2,2.4,0.2,0.3,55584,16874,26.4,0.1,30,83.1,16.5,7.7,68,67,23,10.6025,26,52,65.3216,3.51387,77.5315,9.10355,37.8529
29003," Missouri","Andrew ",6,432.7,436.43,17291,22.2,50.1,49.9,95.7,2,0.2,0.3,0.6,0.1,70526,18805,8.6,0,23.8,87.5,10.9,3.9,11,8,9,9.3614,2,49,63.1776,2.66391,79.6811,2.78436,61.2804
29005," Missouri","Atchison ",6,547.3,550.13,5685,29.7,49.6,50.4,97.7,0.4,0.5,0.4,0,0.3,60781,18037,10.2,0.2,22.5,88.7,11.1,5.7,3,12,10,11.998,2,45,61.5454,2.49008,78.2415,4.9145,100
29007," Missouri","Audrain ",3,692.23,696.82,25529,21.4,45.7,54.3,89.1,6.1,0.4,0.2,0.1,0.5,57969,18502,15.3,0,14.5,85.6,13.1,6.9,72,72,63,12.2977,13,30,46.0431,3.09145,75.8905,6.21122,41.1963
29009," Missouri","Barry ",4,778.25,790.97,35597,24,50.2,49.8,93.6,0.2,0.8,1.1,0,1.4,56640,18995,21,0.2,14.5,75.1,24.2,4.7,54,75,73,17.4748,23,35,47.0698,2.96947,75.9436,5.47576,73.2646
29011," Missouri","Barton ",4,591.92,596.72,12402,22.9,49.5,50.5,94.2,0.3,1.9,0,0.1,0.3,62378,16988,21.6,0.2,18.1,79.7,19,8.9,74,47,70,14.3737,4,36,52.4564,3.08821,78.6901,11.0391,63.9574
29013," Missouri","Bates ",1,836.69,851.38,17049,23.2,48.9,51.1,95.5,1.5,0.6,0.2,0,0.7,65596,19079,12.3,0.5,14.9,81.9,17,5,75,52,74,12.8179,4,30,50.1095,3.80653,76.0625,1.32024,77.2714
29015," Missouri","Benton ",4,704.06,752.55,19056,35.6,49.3,50.7,96.2,0.3,1.1,0.1,0.1,0.2,54881,20305,19.1,0.2,13.4,82.6,16.1,6.6,104,82,93,14.8794,5,37,52.1534,4.52191,75.6568,4.70773,86.5397
29017," Missouri","Bollinger ",5,617.91,621.2,12363,23.4,50,50,97.5,0.6,0.8,0.3,0,0,53616,17193,17,1,9.4,83.9,15,4.9,71,74,78,14.2403,1,39,44.3005,3.60131,75.9596,10.8626,100
29019," Missouri","Boone ",3,685.41,690.98,162642,14.5,48.6,51.4,81.1,8.8,0.3,4.5,0.1,1,73099,19566,18.3,1.1,46,88,11.6,6,9,10,5,10.0603,201,50,79.5325,2.27156,80.1816,8.40124,18.786
29021," Missouri","Buchanan ",6,408.03,414.66,89201,19,50.2,49.8,87.5,5.6,0.3,1,0.2,1.6,63587,18433,17.2,0.9,20.7,88.2,11.3,9.1,83,66,88,11.4934,57,53,57.1728,2.95939,76.3428,6.79865,13.372
29023," Missouri","Butler ",5,694.67,698.99,42794,21.7,48.7,51.3,90.7,5.7,0.5,0.6,0,0.2,53525,16443,21.8,1.1,13.8,84.8,14.9,7.8,106,106,107,12.8351,42,22,59.9901,4.5788,74.2779,7.92083,52.1825
29025," Missouri","Caldwell ",1,426.39,429.64,9424,23.8,50.7,49.3,96,0.5,0.7,0.5,0,0.3,58141,19195,14.9,0,18.3,86.8,12.4,7.1,27,42,46,12.4127,0,45,54.4703,3.13351,77.3902,8.06294,100
29027," Missouri","Callaway ",3,834.57,847.36,44332,19.8,51,49,91.8,4.3,0.5,0.9,0.5,0.3,65892,19264,11.6,0,22.2,83.7,15.6,5.2,46,23,32,10.6048,17,51,53.252,2.93072,77.8983,6.4107,62.0274
29029," Missouri","Camden ",3,655.92,708.64,44002,31.7,49.5,50.5,96.4,0.8,0.6,0.3,0,0.6,70165,21047,16,0.2,21.8,86.4,12.4,3.4,86,33,33,14.2538,35,35,50.4863,4.21466,79.3867,5.98896,74.2284
29031," Missouri","Cape Girardeau ",5,578.53,586.32,75674,19.4,48.4,51.6,87.7,7.5,0.2,1.6,0,0.3,68290,18726,17,0.5,30.5,90.6,8.7,6.3,19,44,14,10.3593,73,48,67.9106,2.75445,77.538,7.5127,30.5032
29033," Missouri","Carroll ",6,694.62,701.39,9295,25.8,49,51,95.6,2.3,0.2,0.2,0,0.2,59785,18784,15.7,0,17,81.7,16.9,9.8,40,58,39,13.2499,3,48,46.4709,3.13901,76.4922,6.13174,64.5401
29035," Missouri","Carter ",5,507.36,509.02,6265,24.1,48.6,51.4,95.2,0,1,0,0,0,55662,17714,17.2,0,16.5,78.8,20.8,9.6,107,100,106,15.9787,1,28,66.6667,5.13331,72.7726,27.6997,100
29037," Missouri","Cass ",1,696.84,702.49,99478,19.5,49.1,50.9,91.5,3.6,0.6,0.8,0,0.7,82359,20121,9.8,0.1,26.1,89.5,9.9,3.3,12,9,13,8.84015,24,47,65.9013,3.05226,78.7584,8.96164,32.4021
29039," Missouri","Cedar ",4,474.48,498.65,13982,26.6,49.9,50.1,96.5,0,0,0.3,0.2,0.2,53359,19062,18.5,0,15.3,86.2,12.4,5.9,79,64,82,14.5731,4,29,54.3276,3.44403,75.6958,6.28952,75.2968
29041," Missouri","Chariton ",7,751.18,766.76,7831,27.8,49.9,50.1,95.6,2.4,0.1,0,0,0,61690,17941,11.9,0,18.4,89.3,10.2,3.9,13,22,17,12.0214,1,32,53.8825,2.79255,79.3805,3.77753,100
29043," Missouri","Christian ",4,562.65,563.81,77422,18.5,48.6,51.4,95.4,0.8,0.6,0.6,0.1,0.5,70886,19763,10.2,0,28.2,87.5,12,2.8,5,6,7,10.0606,38,51,70.2846,2.57686,79.6697,7.10801,44.7961
29045," Missouri","Clark ",7,504.69,511.82,7139,24.6,50.7,49.3,97,0.3,0.4,0.4,0,0,64851,18299,13.3,0,13.5,85.8,12.6,8.2,45,20,59,13.7918,2,49,49.8294,3.85943,78.4696,5.35676,100
29047," Missouri","Clay ",1,397.3,408.67,221939,16.8,49,51,85.7,6,0.5,2.1,0.2,1.5,85359,20466,7.9,0.4,32.7,92.3,7.3,4.3,6,3,4,8.58386,169,53,71.1028,2.89393,79.7431,6.47734,9.81576
29049," Missouri","Clinton ",1,418.96,423.48,20743,21.3,50.1,49.9,95.2,1.9,1,0.2,0,0.5,69879,18380,10.9,0.6,19.4,88.9,10.4,3.3,20,17,19,9.19349,11,45,60.823,3.15149,76.6923,3.09322,76.2088
29051," Missouri","Cole ",3,393.75,401.92,75990,19.1,50.5,49.5,83.7,11.7,0.4,1.4,0,0.7,74151,19865,10.8,0.5,32.9,77.6,21.5,6.8,10,16,8,10.0919,54,58,66.1445,2.50072,79.1567,8.35533,29.0749
29053," Missouri","Cooper ",3,564.77,569.18,17601,21,52.3,47.7,89,6.4,0.3,0.3,0.1,0.6,60261,16961,11.9,0.2,21.4,85.2,14.1,5.5,21,28,18,10.6451,7,44,53.271,3.09806,77.3486,8.40049,53.2015
29055," Missouri","Crawford ",2,742.52,743.75,24696,22.4,49.3,50.7,96.7,0.3,0,0.1,0,0.6,51626,18138,19.5,0.4,11.2,85.2,12.9,4,92,98,99,14.8007,0,30,40.6054,3.92356,74.4857,2.90987,73.3074
29057," Missouri","Dade ",4,490.01,506.25,7883,26.8,51.2,48.8,95.3,0.3,0.9,0.1,0.1,0.5,51684,18408,22.5,0.3,13.6,84.4,14.1,4.1,42,70,41,14.8639,5,42,39.8929,2.71253,76.601,3.1953,100
29059," Missouri","Dallas ",4,540.77,542.85,16777,24.6,49.8,50.2,96.4,0,1.1,0.4,0,0.2,57995,19458,15,0.3,12.4,78.8,20.3,6.1,91,84,94,16.7349,1,25,37.8573,3.91904,75.5711,8.7828,81.9336
29061," Missouri","Daviess ",6,563.24,569.05,8433,24.7,50.4,49.6,97.2,1,0.3,0.1,0.1,0.3,62162,18646,13,0,18.1,89.3,8.1,8.2,49,5,80,16.2454,1,41,46.0244,3.01383,79.0027,9.9874,100
29063," Missouri","DeKalb ",6,421.36,425.82,12892,20.5,63.3,36.7,85.9,9.8,0.7,0.2,0.2,0.2,62170,18552,13.5,0,15.3,86.2,12.8,6.7,47,19,47,10.4876,3,43,38.6203,3.14765,77.2976,11.2481,62.403
29065," Missouri","Dent ",3,752.79,754.51,15657,24.9,49.6,50.4,95.6,0.6,0.7,0.5,0,0.3,54520,17743,21,0.3,14.6,82.1,17.3,6.9,82,83,81,16.4216,3,27,43.9312,3.30698,77.0075,8.71293,68.57
29067," Missouri","Douglas ",5,813.63,814.6,13684,28.6,50.1,49.9,98.8,0.1,0.2,0.1,0,0.7,48315,17452,21.4,0.1,10.5,78.4,18.1,3.4,90,76,95,15.2404,2,36,48.0916,4.57177,75.7784,13.8232,79.1216
29069," Missouri","Dunklin ",5,541.07,547.18,31953,21.5,48.1,51.9,84.2,9.7,0.4,0.4,0,3,48090,16026,27.1,0.3,13.1,87.8,12,9.9,113,114,114,13.1951,13,37,48.945,5.50322,72.6068,10.7863,50.4554
29071," Missouri","Franklin ",2,922.68,930.69,101492,20.6,49.9,50.1,96.1,0.7,0.2,0.5,0,0.5,72171,19706,10.8,0.2,20.1,86.3,12.7,4.8,31,48,24,10.4072,69,52,65.4393,3.06768,76.8358,3.90603,55.5985
29073," Missouri","Gasconade ",3,517.8,524.44,15222,26.4,50,50,97.3,0.4,0.3,0.4,0,0.2,65289,19289,9.8,0.1,18.9,87.3,11.1,3.9,38,41,26,11.9634,7,40,59.3322,2.90248,76.8111,0.967396,80.8698
29075," Missouri","Gentry ",6,491.42,491.72,6738,22.8,48.3,51.7,97.4,0.7,0.3,0.6,0.1,0.2,52885,17146,17.4,0.9,18,90.6,9,6,7,25,11,12.1344,2,45,60.0555,2.42746,76.533,1.18191,100
29077," Missouri","Greene ",4,675.3,677.88,275174,19.5,48.7,51.3,90.2,3.3,0.5,1.9,0.1,1,61753,18636,17.9,0.7,30.2,84.8,14.8,6.9,33,38,21,11.3101,284,52,71.0768,2.55013,77.2563,6.55877,13.9977
29079," Missouri","Grundy ",7,435.28,438.03,10261,25.6,48.9,51.1,95.8,0.5,1.3,0.4,0.2,0.3,56412,17877,16.3,1.6,18.8,88.5,10.4,8.4,57,88,50,13.6495,3,45,53.8066,3.61552,76.3417,13.0152,45.4634
29081," Missouri","Harrison ",6,722.5,726.41,8957,26.2,49.8,50.2,96.3,0.9,0.2,0.1,0,1,49067,16181,18.6,0.1,16.2,88.5,10,5.2,61,54,66,14.6595,3,37,44.7745,3.08255,77.4653,13.6778,70.3919
29083," Missouri","Henry ",4,696.95,732.33,22272,25.3,48.9,51.1,95.4,1.3,0.6,0.3,0,0.3,59053,16708,21.5,0.2,15.5,86.7,12.2,6.7,84,71,71,12.7265,15,35,52.3273,3.56304,75.9809,13.7834,49.5465
29085," Missouri","Hickory ",4,399.09,411.71,9627,39.2,48.6,51.4,96.2,0.1,1.7,0.1,0,0.4,44594,17751,17.4,0,10,84.3,13.4,4,97,108,91,16.3747,2,25,48.6878,4.12102,75.4725,6.87253,100
29087," Missouri","Holt ",6,462.69,470.35,4912,28.6,49.3,50.7,96.7,0.7,0.8,0.8,0,0,56027,17207,12.9,0.3,19.8,84.1,14.5,8.4,8,29,12,13.2438,1,42,56.0316,2.38275,79.7663,37.1497,100
29089," Missouri","Howard ",3,463.85,471.53,10144,22.3,49.9,50.1,91.7,5.3,0.5,0.2,0,0.4,63071,17498,15,0,24.4,86.7,11.5,3.4,30,68,20,12.5574,4,39,53.9836,2.83531,77.3471,6.88352,64.0576
29091," Missouri","Howell ",5,927.25,928.37,40400,22.6,49,51,96.3,0.5,0.5,0.4,0,0.1,51022,16527,22.2,0.4,16.5,81.8,16.8,7.2,80,80,86,12.9321,41,37,55.6184,3.57297,75.8391,10.5119,72.1733
29093," Missouri","Iron ",5,550.26,552.06,10630,25.4,49.2,50.8,95.7,1.2,0.7,0.2,0.1,0,49709,18342,20.9,0.1,10.9,77.9,21.2,8.3,105,103,96,12.6564,1,38,45.3843,5.38939,73.8632,11.2291,74.8542
29095," Missouri","Jackson ",1,604.46,616.25,674158,17.8,48.4,51.6,66.6,23.6,0.4,1.9,0.3,4.1,71871,18952,15.2,2.1,30.9,89.1,10.5,9,85,53,77,12.586,536,48,67.9552,3.73348,77.2648,7.26771,3.83693
29097," Missouri","Jasper ",4,638.49,641.28,117404,17.8,48.8,51.2,90.4,2,1.6,1.1,0.1,1.5,61434,18189,17.4,0.4,22.9,82.9,16.7,6.3,50,56,49,14.1502,0,49,58.58,2.74619,75.9043,10.6059,23.6917
29099," Missouri","Jefferson ",2,656.63,664.28,218733,17.9,49.7,50.3,96,0.9,0.3,0.7,0,0.2,75099,20523,10.3,0.2,20.2,90.2,9.3,3.6,18,57,30,9.98741,54,52,67.0889,3.11532,75.9147,8.35509,30.1962
29101," Missouri","Johnson ",6,829.28,833.19,52595,14.4,51.6,48.4,89.1,4.3,0.5,1.7,0.3,0.5,63172,18107,15.4,0.1,28.4,91.8,7.9,5.6,17,11,40,10.0475,23,42,71.8776,3.70549,78.4245,6.06103,50.444
29103," Missouri","Knox ",7,504.01,506.83,4131,26.3,50.3,49.7,96.5,0.5,0,0.5,0.5,0.5,53762,16563,19.2,0,15.8,77.4,21.3,5.5,63,55,57,17.4744,1,43,50.7383,2.80957,77.3644,8.6025,100
29105," Missouri","Laclede ",3,764.72,768.01,35571,20.5,49.5,50.5,95.2,0.6,0.8,0.3,0,0.3,55565,17412,15,0.1,14.7,81.5,17.1,5.7,67,89,84,13.7301,19,27,49.6777,3.69377,74.5973,9.46415,60.5128
29107," Missouri","Lafayette ",1,628.43,638.94,33381,22.5,49.4,50.6,94,1.9,0.1,0.6,0.2,0.6,69330,19363,13,0.1,20.1,84.7,14.2,6.7,26,27,28,10.3659,8,38,53.3205,3.20758,76.8127,4.81828,56.9486
29109," Missouri","Lawrence ",4,611.74,613.38,38634,21.2,49.8,50.2,95.5,0.6,0.5,0.2,0,1,57088,18212,16.9,0.1,15.3,85.1,14.1,5.7,62,81,60,13.6419,21,38,48.7749,3.04972,74.8702,4.81223,58.6866
29111," Missouri","Lewis ",7,505.04,510.8,10211,21.5,50.9,49.1,94.3,3.3,0.8,0,0.1,0,57820,16877,15.5,0.6,14,85.9,11.6,6,34,95,43,11.9016,2,31,51.0407,2.84369,74.5889,16.8947,100
